frame,iteration,mean_squared_assignment_error,mean_nearest_target_error,max_abs_statistic_difference
0,0,2112.9369994954745,5.089687811320667,0.0
1,5000,2113.213970240004,4.864452097152327,0.0038768177183818864
2,10000,2112.3794189600953,4.620779937920042,0.006383460411107933
3,15000,2112.2634643919955,4.418726150695864,0.00478523119166141
4,20000,2111.904704478662,4.264383049213838,0.004378555374505058
5,25000,2112.6397043917923,4.161070093974931,0.0035591341090545764
6,30000,2112.5832423932256,3.9847644615220577,0.004125428540390566
7,35000,2111.600867292656,3.8483429150265502,0.006035459302317747
8,40000,2111.6360626933038,3.6787426235577967,0.0053203030699001674
9,45000,2111.9761281422648,3.5530581198103937,0.005489847637931838
10,50000,2111.457432547689,3.423456277157372,0.00499629031316573
11,55000,2111.1307927648936,3.3097470114114382,0.005487059059986477
12,60000,2110.2487882796295,3.249884180657292,0.005466574757147652
13,65000,2110.578515217442,3.1120790475984803,0.005339588024988018
14,70000,2110.2799816165048,3.0106557825907316,0.005395516665423469
15,75000,2108.8757062762916,2.9471110574028887,0.005236651066426873
16,80000,2108.5655490861786,2.844587485281912,0.004738347096647999
17,85000,2108.739278743783,2.7595741168901786,0.0045735456241047245
18,90000,2109.2644130324197,2.642535644199748,0.005027887107463158
19,95000,2108.621373909832,2.560504630963666,0.005403005585444071
20,100000,2108.1026288350795,2.4861078716522647,0.00495555181827001
