frame,iteration,mean_squared_assignment_error,mean_nearest_target_error,max_abs_statistic_difference
0,0,2026.527305347844,10.349299991328994,0.0
1,5000,2024.6418352902099,7.896072276491714,0.0045839422748521486
2,10000,2023.7354779728737,6.053269317413845,0.00453727978891294
3,15000,2024.7354791305916,5.065758457940461,0.004969346154254595
4,20000,2024.974842138474,4.020795401293837,0.004292976520154923
5,25000,2024.4187920095849,3.638392940376551,0.0044442310541448135
6,30000,2023.0099543415076,3.269495940361885,0.004450452539934702
7,35000,2026.3209278550282,3.1117593953277267,0.003960211980443766
8,40000,2025.3499931667043,3.18917248154399,0.005325179089535226
9,45000,2023.9350623457785,3.1184371043478376,0.006256194892934275
10,50000,2023.9746344764185,2.9915638603946713,0.004956851463102652
11,55000,2022.6126717488999,2.7266305246958753,0.0023984062454893013
12,60000,2023.1573541328487,2.6593230358114335,0.005152473698224469
13,65000,2027.5407955551095,2.7926154875565046,0.003695240616499798
14,70000,2029.273177516327,2.594186725130725,0.004078002916951817
15,75000,2031.0795264201038,2.455458659823673,0.007560809651266709
16,80000,2030.6406938763112,2.391530979819793,0.0028150408092315615
17,85000,2030.6837390392336,2.2877290010356353,0.0016658993933298671
18,90000,2028.6175455910836,2.1932436895861267,0.0049855835679650795
19,95000,2030.8781739299327,2.183724520730191,0.006538399697895159
20,100000,2034.511760720197,2.1774867894747914,0.006509152710975741
