frame,iteration,mean_squared_assignment_error,mean_nearest_target_error,max_abs_statistic_difference
0,0,1988.0449324178512,13.626113226025872,0.0
1,2000,1981.0341920917845,13.590319875103452,0.0033093363327623138
2,4000,1971.6740516913696,13.40643736049187,0.004299109411658009
3,6000,1963.5742500639437,13.516344118492439,0.00486736416305078
4,8000,1954.9747574317919,13.646965120639337,0.00660956836932769
5,10000,1946.805556324377,13.934851501218413,0.0036911472761218533
6,12000,1935.7025305071995,13.997696982763252,0.003636547586136629
7,14000,1926.94668106752,13.96070427364081,0.006499151357282074
8,16000,1916.1322724957545,13.870125426163312,0.005377482965933211
9,18000,1904.0875092834376,13.799683988286764,0.004242212256986733
10,20000,1894.2477210949135,13.737046428272746,0.0050103115953099575
11,22000,1883.3278826345504,13.8842088363972,0.00503771020417787
12,24000,1871.828893045351,13.855558073254691,0.005355281493802266
13,26000,1862.733212218781,13.80351553382941,0.005079312363631544
14,28000,1851.8152672008678,13.937827808479465,0.006820010740099747
15,30000,1840.6992828135349,14.017426033897141,0.005234593827026401
16,32000,1830.2275756208442,14.038676512330863,0.0063896182054392625
17,34000,1817.6963313200506,14.114766189595464,0.005121709778105554
18,36000,1805.0618595182236,14.194666670583098,0.00610348909180658
19,38000,1794.259182185644,14.291639217561599,0.005263238832078687
20,40000,1781.6689290030151,14.351356615546454,0.005349199167413568
21,42000,1771.2268658442729,14.56466590748229,0.006040811463847717
22,44000,1760.59590337894,14.519479269648524,0.005221251565963314
23,46000,1748.8256550892568,14.735345183704359,0.006004947740322564
24,48000,1735.1459142237152,14.928450443849709,0.0053166556091547995
25,50000,1722.526666053636,15.059411624652524,0.0052560448339571825
26,52000,1712.5424941986264,15.202631514210276,0.004914737234141597
27,54000,1703.530748424373,15.521557778603063,0.007566344939924363
28,56000,1693.7975436603083,15.693860728835334,0.005521496778355506
29,58000,1684.221660660939,15.717334599658065,0.004991720399509347
30,60000,1668.5270927470099,15.789696744358755,0.005350994434898601
