frame,iteration,mean_squared_assignment_error,mean_nearest_target_error,max_abs_statistic_difference
0,0,2044.2830514694663,19.442628971291054,0.0
1,5000,2045.0724193843305,16.275348360810785,0.004237761394414008
2,10000,2043.86946718713,13.718094211271904,0.0032685711733684286
3,15000,2045.1794081764558,11.753667937323494,0.005814234747610669
4,20000,2049.550709741223,10.372436592437014,0.0024785124600086306
5,25000,2044.226095990745,9.121545601866357,0.004663942706912394
6,30000,2039.5127954584236,8.310764007180303,0.007214030313697606
7,35000,2040.6592018112292,7.508022320218637,0.0018216309720031632
8,40000,2040.0316557358765,6.834294077788418,0.004836127270031909
9,45000,2037.1119207309328,6.301881288171731,0.007232748456551974
10,50000,2040.5182444888833,5.668228175979207,0.007346899755631853
11,55000,2042.1245360736646,5.403730646464413,0.006355818461713625
12,60000,2043.1889475407218,5.045385824949719,0.00463880127223959
13,65000,2040.75388497185,4.867595985422652,0.006269216779145381
14,70000,2038.8308373366722,4.5601948099939555,0.0018284028964075105
15,75000,2040.5811416051674,4.285251009503415,0.004712018095567316
16,80000,2043.3562901752875,4.038083573710028,0.00491548188897184
17,85000,2044.1957827182905,3.739667161162554,0.004702321863447878
18,90000,2044.270676576901,3.544718797983127,0.004329292531082274
19,95000,2044.2161951060891,3.326500233428057,0.004512606457698354
20,100000,2040.5461846225253,3.3289517719389514,0.00482515499525249
