frame,iteration,mean_squared_assignment_error,mean_nearest_target_error,max_abs_statistic_difference
0,0,2021.124753918011,24.016361989604377,0.0
1,2000,2009.043600223834,23.805185878515847,0.005455606281003611
2,4000,2000.166608682203,23.393645714147954,0.0059667137702135165
3,6000,1991.2590941576284,23.12604774762915,0.004887586789585896
4,8000,1982.1762993232364,22.686934695858685,0.004966119451005113
5,10000,1972.893430776625,22.3453266019832,0.005084771099870267
6,12000,1962.7906069276162,22.01097425538671,0.004710904919758008
7,14000,1954.7667821888926,21.80370874254723,0.004897012985862675
8,16000,1945.352649508277,21.806420675223443,0.005671243997305453
9,18000,1937.0493089650377,21.348744078477647,0.005268468794875927
10,20000,1928.4646688313276,21.2375799381069,0.007414634450071844
11,22000,1920.7266341082277,21.33483619229808,0.0054220980045087686
12,24000,1911.004718605138,21.06598450580493,0.00491010555471405
13,26000,1901.4194582780274,20.669234941847485,0.0054498730874563694
14,28000,1892.4955727195554,20.463045050922982,0.005041120900319385
15,30000,1882.994401085732,20.2904164374053,0.005421443363800904
16,32000,1872.0546732496316,20.224099039484095,0.005358713871807197
17,34000,1864.1181212177678,20.174129972595836,0.005245679991587232
18,36000,1853.5046340099898,19.900216904265832,0.0069977629294228905
19,38000,1842.6003199807494,19.91267817275776,0.005673320168661178
20,40000,1829.106960981128,19.96410293750193,0.0049112672647844136
21,42000,1818.5878961410801,20.057645968775425,0.006704245281071053
22,44000,1808.2276260534277,20.032641482626445,0.007016090176286127
23,46000,1800.2670163869911,19.93867241877138,0.005370649161800856
24,48000,1789.60052901855,19.801510392306703,0.005373433914750592
25,50000,1781.6520228134937,19.686514709015427,0.005294038973354981
26,52000,1772.1109959089986,19.620118744522898,0.005143011397318986
27,54000,1759.7910557644932,19.446549044276285,0.0050833579213360736
28,56000,1748.0610193170216,19.23708796563175,0.005129967133846947
29,58000,1733.6627544618223,19.267036370356752,0.00536102056575892
30,60000,1721.8718663163284,19.280854806756423,0.005314193681176249
