point_id,x,y,assigned_slot_id,assigned_layer_id,assigned_layer_name
0,53.68114750557928,90.03617551052977,54,0,outer_ring
1,49.79663813197591,88.73370705676662,64,0,outer_ring
2,48.127319606598675,88.14550055073458,69,0,outer_ring
3,46.43442821727855,89.0672791618388,74,0,outer_ring
4,37.86099146763222,86.73920282585267,92,0,outer_ring
5,37.781737422166245,85.75176709185503,94,0,outer_ring
6,31.024699797152092,83.42208546255097,104,0,outer_ring
7,27.292518307093278,82.23046898655879,106,0,outer_ring
8,26.60903315728385,79.68578281321075,109,0,outer_ring
9,21.88549925953657,75.23964050910897,113,0,outer_ring
10,24.923850399051656,78.33359747845378,111,0,outer_ring
11,14.748390559952382,63.98522152015935,117,0,outer_ring
12,27.88141166288612,57.532471951828185,270,1,inner_ring
13,11.93158469040028,41.35445002097289,120,0,outer_ring
14,32.97367523985238,49.298409416234286,368,2,octagram
15,30.098157586268712,55.42982987592015,363,2,octagram
16,31.03537167326746,53.71311027353687,364,2,octagram
17,40.06791651544777,52.01235933012513,464,3,stroke_nan
18,43.114775019970494,43.308272543051295,489,3,stroke_nan
19,49.78031826379473,53.405171876465204,461,3,stroke_nan
20,45.20101084691804,53.79927431133664,462,3,stroke_nan
21,51.06732244761082,57.680980486637765,451,3,stroke_nan
22,50.54905815104923,51.42338873709052,463,3,stroke_nan
23,60.31555601367243,63.42239426578646,508,4,stroke_kai
24,58.82834831103054,58.74806983703187,513,4,stroke_kai
25,68.48173990473909,65.6157643454805,319,2,octagram
26,61.962747569479326,74.93850206776494,254,1,inner_ring
27,59.01377094998136,71.13722098125372,330,2,octagram
28,56.02577756238778,60.05327973020365,511,4,stroke_kai
29,67.89483916736131,46.97662701943156,539,4,stroke_kai
30,47.40362772178331,45.587039672217806,477,3,stroke_nan
31,52.32585126438066,40.661825587521946,497,3,stroke_nan
32,47.65738041660031,43.59356369852252,492,3,stroke_nan
33,41.041034787604545,52.144409814287904,468,3,stroke_nan
34,49.58321905085254,43.37556814819764,491,3,stroke_nan
35,45.56823950369918,23.07220583065597,397,2,octagram
36,35.649357424104814,35.074295258924565,383,2,octagram
37,35.23296283387084,27.241002026762057,283,1,inner_ring
38,45.87019861927565,43.81177540877036,495,3,stroke_nan
39,30.465011173528747,38.26790723121081,376,2,octagram
40,28.286462935526405,55.152772419092926,271,1,inner_ring
41,38.62341657422542,49.09475406043434,473,3,stroke_nan
42,46.815018992919825,55.51250332182279,455,3,stroke_nan
43,31.02353676888742,42.43317398045676,373,2,octagram
44,16.374241571926554,30.760010553594583,122,0,outer_ring
45,24.81989634954086,18.91928534804592,126,0,outer_ring
46,37.169732913479024,8.972346211624393,138,0,outer_ring
47,42.932471582277024,25.79909142352649,393,2,octagram
48,41.77752123665358,22.40511426676086,286,1,inner_ring
49,48.381466970994836,24.73675546633393,399,2,octagram
50,46.2265126993521,39.74562657670733,500,3,stroke_nan
51,56.42564210640536,28.083124632084946,405,2,octagram
52,46.83775876194501,45.01000933337708,486,3,stroke_nan
53,51.18233252885454,41.507318339869606,496,3,stroke_nan
54,78.07637891348736,52.67004707404463,442,2,octagram
55,60.94048425882642,52.53165938839667,527,4,stroke_kai
56,63.85229184081141,45.32687520022177,542,4,stroke_kai
57,69.92296890006745,52.60719134095454,525,4,stroke_kai
58,78.31059228437313,40.950229821025175,433,2,octagram
59,77.71035488484581,42.264284880176874,434,2,octagram
60,64.09957830714244,48.92506277170544,534,4,stroke_kai
61,75.50076693299037,60.89555531304507,312,2,octagram
62,70.85743997642051,61.333473111053316,315,2,octagram
63,67.13493700826005,73.28814267336473,252,1,inner_ring
64,45.93056227062021,71.63340128530895,340,2,octagram
65,45.47062432438885,87.60527252687213,78,0,outer_ring
66,49.06506556849777,89.69848423451069,66,0,outer_ring
67,61.31943077507477,89.64282807882634,36,0,outer_ring
68,52.60254207992874,89.53177422969146,56,0,outer_ring
69,56.825240438469905,89.49646098641563,47,0,outer_ring
70,66.01644269844857,73.6477792879754,325,2,octagram
71,51.676231384188874,76.14444225552266,258,1,inner_ring
72,49.21706662879501,74.50754197758056,259,1,inner_ring
73,53.16560404574111,76.18475731946216,257,1,inner_ring
74,43.04691047573371,71.45769963332131,344,2,octagram
75,36.092378119066595,60.65917683260427,355,2,octagram
76,34.656826845479145,67.30255357789096,266,1,inner_ring
77,40.0933153509198,72.19007326210172,263,1,inner_ring
78,58.60402464799444,88.61514148015594,43,0,outer_ring
79,59.12475737824022,89.72808441865287,42,0,outer_ring
80,68.0357542927763,88.28978074491846,24,0,outer_ring
81,67.26941645916818,87.77168176042382,25,0,outer_ring
82,63.74509219146968,88.38692909089521,31,0,outer_ring
83,65.37092602784341,87.14395281862052,28,0,outer_ring
84,69.27815289919602,86.71449830101655,21,0,outer_ring
85,75.03358118406892,85.05818169382205,15,0,outer_ring
86,83.49248717772473,78.26017254555863,7,0,outer_ring
87,67.89786657523182,71.09581381852296,251,1,inner_ring
88,78.2773203076124,55.88375518848347,445,2,octagram
89,75.67423584298592,66.80491815571997,248,1,inner_ring
90,76.45081607558377,59.693859205889424,311,2,octagram
91,79.37680801725253,54.45505771267249,444,2,octagram
92,82.17933747244435,48.926317058677576,240,1,inner_ring
93,77.42238281756356,43.209742195116064,435,2,octagram
94,75.61760273118811,46.65466029594435,438,2,octagram
95,80.07861682568235,36.96699646209531,430,2,octagram
96,96.03755708906563,49.736995880652785,0,0,outer_ring
97,91.38314837161957,27.638361037089837,236,0,outer_ring
98,59.29714853064396,48.15679382102285,536,4,stroke_kai
99,59.862622890621054,41.33223227252544,554,4,stroke_kai
100,66.23709663858789,46.43668057175718,544,4,stroke_kai
101,64.92204956458882,38.25281348487585,561,4,stroke_kai
102,67.57962205618087,31.237300854060866,420,2,octagram
103,73.11725557615505,26.372645869827146,299,1,inner_ring
104,85.20464990337155,19.74865994823653,232,0,outer_ring
105,76.53731793703352,30.63012819948873,301,1,inner_ring
106,78.30446266768574,13.4954414121581,225,0,outer_ring
107,65.94631166298525,24.153762864747737,414,2,octagram
108,66.20592617212056,25.710225159614733,416,2,octagram
109,62.878583737386634,23.31319136170665,411,2,octagram
110,64.80745869643027,6.69875583849675,199,0,outer_ring
111,61.09183396504519,20.766392740242694,294,1,inner_ring
112,47.24967132267306,24.25869396030895,398,2,octagram
113,52.74909975285209,36.10607847448469,506,3,stroke_nan
114,42.99679930572961,7.78997681973405,147,0,outer_ring
115,38.21453157706291,9.265133030992242,139,0,outer_ring
116,49.7718680658561,5.88572449834749,162,0,outer_ring
117,49.21552752320105,8.536138400137109,159,0,outer_ring
118,69.05725087937957,8.685610825693052,208,0,outer_ring
119,58.94370260852564,6.726011234363745,184,0,outer_ring
120,43.46774893732439,6.558367101245903,148,0,outer_ring
121,40.960341493310985,9.628570496825452,144,0,outer_ring
122,51.6681557537532,5.647053402810351,165,0,outer_ring
123,38.80170203200152,9.083200063616756,142,0,outer_ring
124,56.02792206960311,5.542112792646601,178,0,outer_ring
125,54.74611428801191,6.511699493897848,174,0,outer_ring
126,57.45199729251752,5.855596807385563,182,0,outer_ring
127,57.0155498042181,5.633016076277432,180,0,outer_ring
128,66.67910219653102,8.521391843966226,204,0,outer_ring
129,69.54783888987564,9.295611517031936,210,0,outer_ring
130,74.30080451981564,10.442326423437981,219,0,outer_ring
131,79.2461566572994,13.021798930203438,226,0,outer_ring
132,82.54936937893673,16.164385938224772,229,0,outer_ring
133,72.1804873376659,10.932036088398652,216,0,outer_ring
134,69.26851212479443,8.673453056950802,209,0,outer_ring
135,80.40534344011853,14.873066659882321,227,0,outer_ring
136,41.268128883637324,26.129222022491728,392,2,octagram
137,32.165283441987064,14.446609848551075,131,0,outer_ring
